key,type,release,milestone,epic,feature,title,area,priority,status,estimate,parent,depends_on,body_file
MVP-E01,epic,MVP,MVP,Foundation,,[MVP-E01] Foundation,architecture,high,Backlog,,,,portfolio/issues/epics/MVP-E01-mvp-e01-foundation.md
MVP-E01-F01,feature,MVP,MVP,Foundation,Monorepo Architecture,[MVP-E01-F01] Monorepo Architecture,architecture,high,Backlog,,MVP-E01,,portfolio/issues/features/MVP-E01-F01-mvp-e01-f01-solution-architecture.md
MVP-E01-F01-S01,story,MVP,MVP,Foundation,Monorepo Architecture,[MVP-E01-F01-S01] Create Next.js monorepo workspace structure,architecture,high,Backlog,3,MVP-E01-F01,,portfolio/issues/stories/MVP-E01-F01-S01-mvp-e01-f01-s01-create-clean-architecture-solution-structure.md
MVP-E01-F01-S02,story,MVP,MVP,Foundation,Monorepo Architecture,[MVP-E01-F01-S02] Configure workspace package boundaries and dependencies,architecture,high,Backlog,3,MVP-E01-F01,,portfolio/issues/stories/MVP-E01-F01-S02-mvp-e01-f01-s02-configure-dependency-boundaries-and-project-references.md
MVP-E01-F01-S03,story,MVP,MVP,Foundation,Monorepo Architecture,[MVP-E01-F01-S03] Create financial domain primitives package,architecture,high,Backlog,3,MVP-E01-F01,,portfolio/issues/stories/MVP-E01-F01-S03-mvp-e01-f01-s03-create-shared-kernel-primitives.md
MVP-E01-F01-S04,story,MVP,MVP,Foundation,Monorepo Architecture,[MVP-E01-F01-S04] Create architecture decision records repository,architecture,high,Backlog,3,MVP-E01-F01,,portfolio/issues/stories/MVP-E01-F01-S04-mvp-e01-f01-s04-create-architecture-decision-records-repository.md
MVP-E01-F02,feature,MVP,MVP,Foundation,Development Environment,[MVP-E01-F02] Development Environment,devops,high,Backlog,,MVP-E01,,portfolio/issues/features/MVP-E01-F02-mvp-e01-f02-development-environment.md
MVP-E01-F02-S01,story,MVP,MVP,Foundation,Development Environment,[MVP-E01-F02-S01] Configure macOS developer bootstrap,devops,high,Backlog,3,MVP-E01-F02,MVP-E01-F01-S04,portfolio/issues/stories/MVP-E01-F02-S01-mvp-e01-f02-s01-configure-macos-developer-bootstrap.md
MVP-E01-F02-S02,story,MVP,MVP,Foundation,Development Environment,[MVP-E01-F02-S02] Create Docker Compose local stack,devops,high,Backlog,3,MVP-E01-F02,,portfolio/issues/stories/MVP-E01-F02-S02-mvp-e01-f02-s02-create-docker-compose-local-stack.md
MVP-E01-F02-S03,story,MVP,MVP,Foundation,Development Environment,[MVP-E01-F02-S03] Configure application settings and secrets,devops,high,Backlog,3,MVP-E01-F02,,portfolio/issues/stories/MVP-E01-F02-S03-mvp-e01-f02-s03-configure-application-settings-and-secrets.md
MVP-E01-F02-S04,story,MVP,MVP,Foundation,Development Environment,[MVP-E01-F02-S04] Create repository documentation baseline,devops,high,Backlog,3,MVP-E01-F02,,portfolio/issues/stories/MVP-E01-F02-S04-mvp-e01-f02-s04-create-repository-documentation-baseline.md
MVP-E01-F03,feature,MVP,MVP,Foundation,CI/CD and Quality Gates,[MVP-E01-F03] CI/CD and Quality Gates,devops,high,Backlog,,MVP-E01,,portfolio/issues/features/MVP-E01-F03-mvp-e01-f03-ci-cd-and-quality-gates.md
MVP-E01-F03-S01,story,MVP,MVP,Foundation,CI/CD and Quality Gates,[MVP-E01-F03-S01] Create GitHub Actions build workflow,devops,high,Backlog,3,MVP-E01-F03,MVP-E01-F02-S04,portfolio/issues/stories/MVP-E01-F03-S01-mvp-e01-f03-s01-create-github-actions-build-workflow.md
MVP-E01-F03-S02,story,MVP,MVP,Foundation,CI/CD and Quality Gates,[MVP-E01-F03-S02] Create pull request validation workflow,devops,high,Backlog,3,MVP-E01-F03,,portfolio/issues/stories/MVP-E01-F03-S02-mvp-e01-f03-s02-create-pull-request-validation-workflow.md
MVP-E01-F03-S03,story,MVP,MVP,Foundation,CI/CD and Quality Gates,[MVP-E01-F03-S03] Configure code coverage reporting,devops,high,Backlog,3,MVP-E01-F03,,portfolio/issues/stories/MVP-E01-F03-S03-mvp-e01-f03-s03-configure-code-coverage-reporting.md
MVP-E01-F03-S04,story,MVP,MVP,Foundation,CI/CD and Quality Gates,[MVP-E01-F03-S04] Create Dependabot configuration,devops,high,Backlog,3,MVP-E01-F03,,portfolio/issues/stories/MVP-E01-F03-S04-mvp-e01-f03-s04-create-dependabot-configuration.md
MVP-E01-F04,feature,MVP,MVP,Foundation,Observability,[MVP-E01-F04] Observability,infrastructure,high,Backlog,,MVP-E01,,portfolio/issues/features/MVP-E01-F04-mvp-e01-f04-observability.md
MVP-E01-F04-S01,story,MVP,MVP,Foundation,Observability,[MVP-E01-F04-S01] Configure structured logging,infrastructure,high,Backlog,3,MVP-E01-F04,MVP-E01-F03-S04,portfolio/issues/stories/MVP-E01-F04-S01-mvp-e01-f04-s01-configure-structured-logging.md
MVP-E01-F04-S02,story,MVP,MVP,Foundation,Observability,[MVP-E01-F04-S02] Create health check endpoints,infrastructure,high,Backlog,3,MVP-E01-F04,,portfolio/issues/stories/MVP-E01-F04-S02-mvp-e01-f04-s02-create-health-check-endpoints.md
MVP-E01-F04-S03,story,MVP,MVP,Foundation,Observability,[MVP-E01-F04-S03] Create global exception handling middleware,infrastructure,high,Backlog,3,MVP-E01-F04,,portfolio/issues/stories/MVP-E01-F04-S03-mvp-e01-f04-s03-create-global-exception-handling-middleware.md
MVP-E01-F05,feature,MVP,MVP,Foundation,Testing Foundation,[MVP-E01-F05] Testing Foundation,testing,high,Backlog,,MVP-E01,,portfolio/issues/features/MVP-E01-F05-mvp-e01-f05-testing-foundation.md
MVP-E01-F05-S01,story,MVP,MVP,Foundation,Testing Foundation,[MVP-E01-F05-S01] Configure unit testing framework,testing,high,Backlog,3,MVP-E01-F05,MVP-E01-F04-S03,portfolio/issues/stories/MVP-E01-F05-S01-mvp-e01-f05-s01-configure-unit-testing-framework.md
MVP-E01-F05-S02,story,MVP,MVP,Foundation,Testing Foundation,[MVP-E01-F05-S02] Configure integration testing framework,testing,high,Backlog,3,MVP-E01-F05,,portfolio/issues/stories/MVP-E01-F05-S02-mvp-e01-f05-s02-configure-integration-testing-framework.md
MVP-E01-F05-S03,story,MVP,MVP,Foundation,Testing Foundation,[MVP-E01-F05-S03] Create test data builder library,testing,high,Backlog,3,MVP-E01-F05,,portfolio/issues/stories/MVP-E01-F05-S03-mvp-e01-f05-s03-create-test-data-builder-library.md
MVP-E02,epic,MVP,MVP,Statement Ingestion,,[MVP-E02] Statement Ingestion,api,high,Backlog,,,,portfolio/issues/epics/MVP-E02-mvp-e02-statement-ingestion.md
MVP-E02-F01,feature,MVP,MVP,Statement Ingestion,Upload Workflow,[MVP-E02-F01] Upload Workflow,api,high,Backlog,,MVP-E02,,portfolio/issues/features/MVP-E02-F01-mvp-e02-f01-upload-workflow.md
MVP-E02-F01-S01,story,MVP,MVP,Statement Ingestion,Upload Workflow,[MVP-E02-F01-S01] Create statement upload route handler,api,high,Backlog,3,MVP-E02-F01,,portfolio/issues/stories/MVP-E02-F01-S01-mvp-e02-f01-s01-create-statement-upload-api-endpoint.md
